Date : 2021-01-22 19:42:17
Directory : c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc
Total : 161 files,  47764 codes, 103 comments, 2722 blanks, all 50589 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| src\pages\CertifiedSales\LearnMore                                                                           |          2 |        188 |          0 |         33 |        221 |
| src\pages\FixedSwap                                                                                          |          2 |        562 |          1 |         89 |        652 |
| src\pages\Home                                                                                               |          2 |        482 |          0 |         69 |        551 |
| src\pages\Kyc                                                                                                |          5 |        293 |          4 |         37 |        334 |
| src\pages\PersonalInfo                                                                                       |          2 |        193 |          0 |         21 |        214 |
| src\pages\ProjectList                                                                                        |          2 |        105 |          0 |         14 |        119 |
| src\pages\components                                                                                         |         27 |      1,271 |         16 |        189 |      1,476 |
| src\pages\components\Exhibition                                                                              |          4 |         75 |          0 |         14 |         89 |
| src\pages\components\HeaderTab                                                                               |         10 |        343 |         12 |         47 |        402 |
| src\pages\components\HeaderTab\assets                                                                        |          6 |         24 |          0 |          6 |         30 |
| src\pages\components\Modal                                                                                   |          4 |        228 |          1 |         38 |        267 |
| src\pages\components\Table                                                                                   |          9 |        625 |          3 |         90 |        718 |
| src\redux                                                                                                    |          2 |         43 |          0 |          7 |         50 |
| src\test                                                                                                     |          1 |         29 |          1 |          7 |         37 |
| src\utils                                                                                                    |          9 |        260 |          0 |         60 |        320 |
| src\web3                                                                                                     |          5 |     30,260 |          1 |          8 |     30,269 |
| src\web3\abi                                                                                                 |          3 |     30,215 |          0 |          2 |     30,217 |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                     | language         | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\.idea\bounce-kyc.iml                                   | XML              |         12 |          0 |          0 |         12 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\.idea\codeStyles\codeStyleConfig.xml                   | XML              |          5 |          0 |          0 |          5 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\.idea\inspectionProfiles\Project_Default.xml           | XML              |          6 |          0 |          0 |          6 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\.idea\inspectionProfiles\profiles_settings.xml         | XML              |          5 |          0 |          0 |          5 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\.idea\misc.xml                                         | XML              |          6 |          0 |          0 |          6 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\.idea\modules.xml                                      | XML              |          8 |          0 |          0 |          8 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\.idea\vcs.xml                                          | XML              |          6 |          0 |          0 |          6 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\README.md                                              | Markdown         |         38 |          0 |         33 |         71 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\package.json                                           | JSON             |         56 |          0 |          0 |         56 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\public\index.html                                      | HTML             |         20 |         23 |          1 |         44 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\public\logo.svg                                        | XML              |          4 |          8 |          2 |         14 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\public\manifest.json                                   | JSON             |         25 |          0 |          1 |         26 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\App.css                                            | CSS              |        185 |          8 |         29 |        222 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\App.js                                             | JavaScript       |         33 |          1 |          5 |         39 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\Font.css                                           | CSS              |         25 |          0 |          4 |         29 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\bounce-loading.json                         | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\css\_modal.scss                             | SCSS             |        251 |          0 |         69 |        320 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\checkbox.svg                          | XML              |          7 |          0 |          0 |          7 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\close.svg                             | XML              |          3 |          0 |          0 |          3 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\copy-black.svg                        | XML              |          6 |          0 |          1 |          7 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\copy-white.svg                        | XML              |          6 |          0 |          1 |          7 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\down.svg                              | XML              |          3 |          0 |          1 |          4 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\facebook.svg                          | XML              |          3 |          0 |          1 |          4 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\github.svg                            | XML              |          1 |          0 |          0 |          1 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\icon-close-white.svg                  | XML              |          3 |          0 |          1 |          4 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\icon-close.svg                        | XML              |          3 |          0 |          1 |          4 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\icon-error.svg                        | XML              |          3 |          0 |          1 |          4 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\icon-eye-closed.svg                   | XML              |          4 |          0 |          1 |          5 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\icon-eye-open.svg                     | XML              |          3 |          0 |          1 |          4 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\icon-success.svg                      | XML              |          3 |          0 |          1 |          4 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\index-medium.svg                      | XML              |          5 |          0 |          1 |          6 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\index-telegram.svg                    | XML              |          3 |          0 |          1 |          4 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\index-twitter.svg                     | XML              |          5 |          0 |          1 |          6 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\matemask.svg                          | XML              |         32 |          0 |          1 |         33 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\radio.svg                             | XML              |          4 |          0 |          1 |          5 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\right.svg                             | XML              |          3 |          0 |          1 |          4 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\telegram.svg                          | XML              |          3 |          0 |          1 |          4 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\tick.svg                              | XML              |          3 |          0 |          1 |          4 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\tick_white.svg                        | XML              |          3 |          0 |          1 |          4 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\twitter.svg                           | XML              |          3 |          0 |          1 |          4 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\walletconnect.svg                     | XML              |          3 |          0 |          1 |          4 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\icons\warning.svg                           | XML              |          3 |          0 |          1 |          4 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\back1.svg                            | XML              |         40 |          0 |          1 |         41 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\back2.svg                            | XML              |          3 |          0 |          1 |          4 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\back3.svg                            | XML              |          3 |          0 |          1 |          4 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\back4.svg                            | XML              |          3 |          0 |          1 |          4 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\back5.svg                            | XML              |          3 |          0 |          1 |          4 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\back6.svg                            | XML              |          3 |          0 |          1 |          4 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\bule-check.svg                       | XML              |          4 |          0 |          1 |          5 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\bule-people.svg                      | XML              |          4 |          0 |          1 |          5 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\bule-star.svg                        | XML              |          3 |          0 |          1 |          4 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\cancel.svg                           | XML              |          3 |          0 |          1 |          4 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\icon-return.svg                      | XML              |          3 |          0 |          1 |          4 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\kyc.svg                              | XML              |         55 |          0 |          1 |         56 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\lattice.svg                          | XML              |         27 |          0 |          1 |         28 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\radio.svg                            | XML              |          3 |          0 |          1 |          4 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\radio_sel.svg                        | XML              |          4 |          0 |          1 |          5 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\upload-img.svg                       | XML              |          3 |          0 |          1 |          4 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\images\walletConnectIcon.svg                | XML              |          9 |          0 |          1 |         10 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\logo\logo-black.svg                         | XML              |         14 |          0 |          1 |         15 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\assets\logo\logo-white.svg                         | XML              |         14 |          0 |          1 |         15 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\components\WalletConnect.js                        | JavaScript       |         87 |          4 |         19 |        110 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\components\WalletItem.jsx                          | JavaScript React |         22 |          0 |          2 |         24 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\components\common\AuctionTipModal.js               | JavaScript       |        135 |          0 |         10 |        145 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\components\common\BidModal.js                      | JavaScript       |         46 |          0 |         10 |         56 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\components\common\Button.js                        | JavaScript       |         40 |          0 |         11 |         51 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\components\common\Form.js                          | JavaScript       |        157 |          2 |         17 |        176 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\components\common\Layout.jsx                       | JavaScript React |        437 |          4 |         77 |        518 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\components\common\Modal.js                         | JavaScript       |        181 |          0 |         25 |        206 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\components\common\PasswordMpdal.js                 | JavaScript       |         43 |          0 |         14 |         57 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\components\common\TipLink.js                       | JavaScript       |         25 |          0 |          5 |         30 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\components\common\message.js                       | JavaScript       |         64 |          0 |          6 |         70 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\components\styled.js                               | JavaScript       |         34 |          0 |          4 |         38 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\components\useWeb3React.js                         | JavaScript       |         14 |          1 |          4 |         19 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\config\request_api.js                              | JavaScript       |          9 |          0 |          2 |         11 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\const.js                                           | JavaScript       |         34 |          0 |         12 |         46 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\hooks\useDebounce.js                               | JavaScript       |         13 |          5 |          5 |         23 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\hooks\useLeftTime.js                               | JavaScript       |         35 |          0 |          6 |         41 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\index.js                                           | JavaScript       |          7 |          0 |          2 |          9 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\ApplySale\Step1.jsx                          | JavaScript React |        129 |          0 |         20 |        149 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\ApplySale\Step2.jsx                          | JavaScript React |         75 |          0 |         15 |         90 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\ApplySale\Step3.jsx                          | JavaScript React |         27 |          0 |          5 |         32 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\ApplySale\Step4.jsx                          | JavaScript React |         52 |          0 |         11 |         63 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\ApplySale\Step5.jsx                          | JavaScript React |         80 |          1 |         15 |         96 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\ApplySale\Step6.jsx                          | JavaScript React |         35 |          2 |          7 |         44 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\ApplySale\index.jsx                          | JavaScript React |         46 |          0 |         10 |         56 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\ApplySale\styled.js                          | JavaScript       |        119 |          0 |         20 |        139 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\CertifiedSales\Apply.jsx                     | JavaScript React |         69 |          1 |         10 |         80 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\CertifiedSales\ApplyModal.js                 | JavaScript       |         53 |          0 |         12 |         65 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\CertifiedSales\Card.jsx                      | JavaScript React |        130 |          2 |         21 |        153 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\CertifiedSales\CardHeader.jsx                | JavaScript React |         28 |          0 |          4 |         32 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\CertifiedSales\Detail\index.jsx              | JavaScript React |          9 |          0 |          2 |         11 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\CertifiedSales\Detail\styled.js              | JavaScript       |          3 |          0 |          2 |          5 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\CertifiedSales\LearnMore\index.jsx           | JavaScript React |        129 |          0 |         21 |        150 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\CertifiedSales\LearnMore\styled.js           | JavaScript       |         59 |          0 |         12 |         71 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\CertifiedSales\Progress.jsx                  | JavaScript React |         32 |          0 |          5 |         37 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\CertifiedSales\hooks.js                      | JavaScript       |         25 |          0 |          5 |         30 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\CertifiedSales\index.jsx                     | JavaScript React |         13 |          0 |          2 |         15 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\CertifiedSales\styled.js                     | JavaScript       |        169 |          0 |         26 |        195 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\FixedSwap\Detail.js                          | JavaScript       |        397 |          0 |         54 |        451 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\FixedSwap\Hooks.js                           | JavaScript       |        165 |          1 |         35 |        201 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\Home\index.jsx                               | JavaScript React |        189 |          0 |         27 |        216 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\Home\styled.js                               | JavaScript       |        293 |          0 |         42 |        335 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\InitPage.jsx                                 | JavaScript React |         47 |         17 |         14 |         78 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\Kyc\Step1.jsx                                | JavaScript React |         55 |          1 |          9 |         65 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\Kyc\Step2.jsx                                | JavaScript React |         53 |          1 |          8 |         62 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\Kyc\Step3.jsx                                | JavaScript React |        102 |          2 |          8 |        112 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\Kyc\index.jsx                                | JavaScript React |         43 |          0 |          6 |         49 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\Kyc\styled.js                                | JavaScript       |         40 |          0 |          6 |         46 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\PersonalInfo\index.jsx                       | JavaScript React |        128 |          0 |         10 |        138 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\PersonalInfo\styled.js                       | JavaScript       |         65 |          0 |         11 |         76 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\ProjectList\index.jsx                        | JavaScript React |         71 |          0 |          9 |         80 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\ProjectList\styled.js                        | JavaScript       |         34 |          0 |          5 |         39 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Exhibition\Crumbs.jsx             | JavaScript React |         13 |          0 |          2 |         15 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Exhibition\Passage.jsx            | JavaScript React |         10 |          0 |          2 |         12 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Exhibition\index.jsx              | JavaScript React |          6 |          0 |          1 |          7 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Exhibition\styled.js              | JavaScript       |         46 |          0 |          9 |         55 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\HeaderTab\PersonalModal.jsx       | JavaScript React |         65 |          1 |          8 |         74 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\HeaderTab\assets\icon-acs-sel.svg | XML              |          4 |          0 |          1 |          5 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\HeaderTab\assets\icon-acs.svg     | XML              |          4 |          0 |          1 |          5 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\HeaderTab\assets\icon-kyc-sel.svg | XML              |          4 |          0 |          1 |          5 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\HeaderTab\assets\icon-kyc.svg     | XML              |          4 |          0 |          1 |          5 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\HeaderTab\assets\icon-pi-sel.svg  | XML              |          4 |          0 |          1 |          5 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\HeaderTab\assets\icon-pi.svg      | XML              |          4 |          0 |          1 |          5 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\HeaderTab\config.js               | JavaScript       |         14 |         10 |          2 |         26 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\HeaderTab\index.jsx               | JavaScript React |        109 |          1 |          9 |        119 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\HeaderTab\styled.js               | JavaScript       |        131 |          0 |         22 |        153 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Modal\Confirm.jsx                 | JavaScript React |         32 |          0 |          5 |         37 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Modal\Support.jsx                 | JavaScript React |         22 |          0 |          2 |         24 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Modal\index.jsx                   | JavaScript React |         72 |          1 |         13 |         86 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Modal\styled.js                   | JavaScript       |        102 |          0 |         18 |        120 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Table\Button.jsx                  | JavaScript React |         22 |          0 |          2 |         24 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Table\Check.jsx                   | JavaScript React |         25 |          0 |          5 |         30 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Table\Form.jsx                    | JavaScript React |         12 |          0 |          3 |         15 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Table\Input.jsx                   | JavaScript React |        118 |          0 |         16 |        134 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Table\Select.jsx                  | JavaScript React |         39 |          0 |          5 |         44 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Table\Text.jsx                    | JavaScript React |         11 |          0 |          3 |         14 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Table\Upload.jsx                  | JavaScript React |         88 |          2 |         11 |        101 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Table\index.jsx                   | JavaScript React |         16 |          0 |          1 |         17 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\components\Table\styled.js                   | JavaScript       |        294 |          1 |         44 |        339 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\index.jsx                                    | JavaScript React |         49 |          1 |          5 |         55 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\pages\styled.js                                    | JavaScript       |          9 |          0 |          2 |         11 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\reducer.js                                         | JavaScript       |         24 |          0 |          6 |         30 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\redux\index.js                                     | JavaScript       |         11 |          0 |          3 |         14 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\redux\reducer.js                                   | JavaScript       |         32 |          0 |          4 |         36 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\test\index.jsx                                     | JavaScript React |         29 |          1 |          7 |         37 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\utils\common.js                                    | JavaScript       |         22 |          0 |          8 |         30 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\utils\crop-image.js                                | JavaScript       |         33 |          0 |          9 |         42 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\utils\fetchApi.js                                  | JavaScript       |          8 |          0 |          2 |         10 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\utils\form.js                                      | JavaScript       |          5 |          0 |          2 |          7 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\utils\format.js                                    | JavaScript       |         20 |          0 |          7 |         27 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\utils\numberTransform.js                           | JavaScript       |         60 |          0 |         16 |         76 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\utils\promisify.js                                 | JavaScript       |         15 |          0 |          1 |         16 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\utils\themeHooks.js                                | JavaScript       |         17 |          0 |          5 |         22 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\utils\time.js                                      | JavaScript       |         80 |          0 |         10 |         90 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\web3\abi\BouncePro.json                            | JSON             |     20,264 |          0 |          1 |     20,265 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\web3\abi\BounceProVoting.json                      | JSON             |      7,832 |          0 |          1 |      7,833 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\web3\abi\bounceERC20.json                          | JSON             |      2,119 |          0 |          0 |      2,119 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\web3\address.js                                    | JavaScript       |         36 |          0 |          3 |         39 |
| c:\Users\Administrator\Desktop\bounce v2.0\bounce-kyc\src\web3\index.js                                      | JavaScript       |          9 |          1 |          3 |         13 |
